,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species,edibility,foray_zip_code
46,46,46,46,46,Grifola frondosa,,2002-10-26,Pickle Spring,10,2002,26,Grifola,frondosa,4,63670
47,47,47,47,47,Laetiporus sulphureus,Chicken of the woods ,2002-10-26,Pickle Spring,10,2002,26,Laetiporus,sulphureus,4,63670
48,48,48,48,48,Fistulina hepatica,,2002-10-26,Pickle Spring,10,2002,26,Fistulina,hepatica,3,63670
49,49,49,49,49,Ramaria conjunctipes,,2002-10-26,Pickle Spring,10,2002,26,Ramaria,conjunctipes,0,63670
50,50,50,50,50,Auricularia auricula-judae,Jelly ear,2002-10-26,Pickle Spring,10,2002,26,Auricularia,auricula-judae,4,63670
51,51,51,51,51,Hygrophorus russula,,2002-10-26,Pickle Spring,10,2002,26,Hygrophorus,russula,3,63670
52,52,52,52,52,Rhodocollybia maculata,Spotted Collybia ,2002-10-26,Pickle Spring,10,2002,26,Rhodocollybia,maculata,2,63670
53,53,53,53,53,Gymnopus dryophilus,Oak-loving Collybia ,2002-10-26,Pickle Spring,10,2002,26,Gymnopus,dryophilus,0,63670
54,54,54,54,54,Clavariadelphus pistillaris,,2002-10-26,Pickle Spring,10,2002,26,Clavariadelphus,pistillaris,3,63670
55,55,55,55,55,Chroogomphus vinicolor,Pine Spikes ,2002-10-26,Pickle Spring,10,2002,26,Chroogomphus,vinicolor,3,63670
56,56,56,56,56,Leotia lubrica,Jellybaby ,2002-10-26,Pickle Spring,10,2002,26,Leotia,lubrica,0,63670
57,57,57,57,57,Marasmius strictipes,,2002-10-26,Pickle Spring,10,2002,26,Marasmius,strictipes,0,63670
58,58,58,58,58,Marasmius fulvoferrugineus,,2002-10-26,Pickle Spring,10,2002,26,Marasmius,fulvoferrugineus,0,63670
59,59,59,59,59,Rickenella fibula,Orange Moss Agaric ,2002-10-26,Pickle Spring,10,2002,26,Rickenella,fibula,0,63670
60,60,60,60,60,Geastrum saccatum,Rounded earthstar ,2002-10-26,Pickle Spring,10,2002,26,Geastrum,saccatum,2,63670
61,61,61,61,61,Cantharellus cinnabarinus,Cinnabar chanterelle ,2002-10-26,Pickle Spring,10,2002,26,Cantharellus,cinnabarinus,3,63670
62,62,62,62,62,Cantharellus cinereus,,2002-10-26,Pickle Spring,10,2002,26,Cantharellus,cinereus,3,63670
63,63,63,63,63,Polyporus alveolaris,,2002-10-26,Pickle Spring,10,2002,26,Polyporus,alveolaris,3,63670
64,64,64,64,64,Lentinellus ursinus,Bear Lentinus ,2002-10-26,Pickle Spring,10,2002,26,Lentinellus,ursinus,2,63670
65,65,65,65,65,Hydnum repandum,Wood hedgehog ,2002-10-26,Pickle Spring,10,2002,26,Hydnum,repandum,3,63670
66,66,66,66,66,Mycena pura,Lilac bonnet ,2002-10-26,Pickle Spring,10,2002,26,Mycena,pura,0,63670
67,67,67,67,67,Lycogala epidendrum,Wolf's Milk ,2002-10-26,Pickle Spring,10,2002,26,Lycogala,epidendrum,2,63670
68,68,68,68,68,Phallus ravenelii,Ravenel's Stinkhorn ,2002-10-26,Pickle Spring,10,2002,26,Phallus,ravenelii,3,63670
69,69,69,69,69,Hypholoma fasciculare,Sulphur tuft ,2002-10-26,Pickle Spring,10,2002,26,Hypholoma,fasciculare,1,63670
70,70,70,70,70,Stereum complicatum,Crowded parchment ,2002-10-26,Pickle Spring,10,2002,26,Stereum,complicatum,2,63670
71,71,71,71,71,Stereum ostrea,False turkeytail ,2002-10-26,Pickle Spring,10,2002,26,Stereum,ostrea,2,63670
72,72,72,72,72,Phellinus gilvus,Mustard Yellow Polypore ,2002-10-26,Pickle Spring,10,2002,26,Phellinus,gilvus,0,63670
73,73,73,73,73,Leucopaxillus laterarius,,2002-10-26,Pickle Spring,10,2002,26,Leucopaxillus,laterarius,2,63670
74,74,74,74,74,Lentaria micheneri,,2002-10-26,Pickle Spring,10,2002,26,Lentaria,micheneri,2,63670
75,75,75,75,75,Pisolithus arrhizus,,2002-10-26,Pickle Spring,10,2002,26,Pisolithus,arrhizus,2,63670
